NAME,SUM of PPG,SUM of APG,SUM of RPG,,
Kyle Anderson,4.3,2.5,2.7,9.5,
Kyle Lowry,7,4,3.5,14.5,
Kyrie Irving,22.6,4.9,3.7,31.2,
Larry Nance Jr.,6.3,1.8,8.3,16.4,
LeBron James,27.8,8.8,6.8,43.4,
Leonard Miller,0,0,1.3,1.3,
Lindy Waters III,0,0,0.3,0.3,
Luguentz Dort,10.7,2,4.6,17.3,
Luka Doncic,28.9,8.4,9.6,46.9,
Luka Garza,4.1,0.1,0.9,5.1,
Luke Kornet,3.5,0.5,3.6,7.6,
Malik Beasley,8.8,0.7,2.5,12,
Mamadi Diakite,0.5,0.3,0.8,1.6,
Marcus Morris Sr.,6.1,0.3,2.8,9.2,
MarJon Beauchamp,0.8,0.5,0.3,1.6,
Markelle Fultz,6.4,1.1,2,9.5,
Mason Plumlee,3.2,0.7,3.3,7.2,
Matt Ryan,0,0,1,1,
Max Strus,9.5,2.9,5.3,17.7,
Maxi Kleber,3.7,1,1.9,6.6,
Michael Porter Jr.,15.8,1.1,6.8,23.7,
Mike Conley,11.6,5.7,3.9,21.2,
Miles McBride,11,1.9,2.2,15.1,
Mitchell Robinson,2.8,0.5,6.8,10.1,
Monte Morris,2.3,1,0.7,4,
Moritz Wagner,6.3,0.3,4.4,11,
Myles Turner,17,2.1,6.6,25.7,
Naji Marshall,9,1.3,2.8,13.1,
Nassir Little,1.8,0,0.3,2.1,
Naz Reid,11.1,1,3.7,15.8,
Neemias Queta,1,0,1.5,2.5,
Nickeil Alexander-Walker,7.3,2.3,1.8,11.4,
Nicolas Batum,6.3,1.3,5.8,13.4,
Nikola Jokic,28.7,8.7,13.4,50.8,
Nikola Jovic,9.4,2.2,6.6,18.2,
Norman Powell,12.8,0.3,2.8,15.9,
Obi Toppin,10.9,1.7,4.4,17,
OG Anunoby,15.1,1.1,6,22.2,
Olivier-Maxence Prosper,0,0,0,0,
Orlando Robinson,0,1,1,2,
Oshae Brissett,1.1,0,1.4,2.5,
Ousmane Dieng,0.5,0,0,0.5,
P.J. Tucker,5.5,0,1.5,7,
P.J. Washington,13.8,1.4,6.9,22.1,
Paolo Banchero,27,4,8.6,39.6,
Pascal Siakam,21.6,3.8,7.5,32.9,
Pat Connaughton,4.5,2.2,3.8,10.5,
Patrick Beverley,8.2,5.5,3.3,17,
Patty Mills,6,1,0.3,7.3,
Paul George,19.5,4.8,6.8,31.1,
Paul Reed,1.5,0.3,2.7,4.5,
Payton Pritchard,6.4,2.2,2,10.6,
Peyton Watson,1.8,0.4,1.5,3.7,
Precious Achiuwa,5.2,0.6,4.2,10,
Reggie Jackson,3.5,1,1.3,5.8,
Royce O'Neale,5,1,4.8,10.8,
Rudy Gobert,12.1,1.6,9.8,23.5,
Rui Hachimura,7.8,0.8,3.8,12.4,
Russell Westbrook,6.3,1.7,4.2,12.2,
Sam Hauser,4.8,0.6,2,7.4,
Sam Merrill,3.3,0.9,1.2,5.4,
Shai Gilgeous-Alexander,30.2,6.4,7.2,43.8,
Shake Milton,1.3,0.5,0.3,2.1,
Spencer Dinwiddie,3,1.6,1.4,6,
Svi Mykhailiuk,0.8,0.2,0.5,1.5,
T.J. McConnell,11.8,5.1,3.1,20,
T.J. Warren,0,0.3,1,1.3,
Taurean Prince,7.4,0.6,2.4,10.4,
Terance Mann,9.3,1.8,5,16.1,
Thaddeus Young,0,0,0,0,
Thanasis Antetokounmpo,0,0,0,0,
Thomas Bryant,6,0.5,2.5,9,
Tim Hardaway Jr.,3.8,0.3,1.8,5.9,
Tobias Harris,9,1.5,7.2,17.7,
Trey Murphy III,11.5,2.3,6.5,20.3,
Tristan Thompson,1.5,1,2,4.5,
Tyler Herro,16.8,5.4,3.6,25.8,
Tyrese Haliburton,18.7,8.2,4.8,31.7,
Tyrese Maxey,29.8,6.8,5.2,41.8,
Wendell Carter Jr.,7.6,1.3,6.3,15.2,
Wendell Moore Jr.,1.2,0.3,0.3,1.8,
Xavier Tillman,1.3,0.3,1.9,3.5,
Zeke Nnaji,1.7,0,0.7,2.4,
Grand Total,1807.4,387.3,738.7,2933.4,
